result_date,company_name,name_norm,symbol,meeting_type,source,sector,is_fo,is_nifty50,is_nifty_next50,is_banknifty,market_cap_tier,importance_score,updated_at
2026-09-10,Gaja Alternative Asset Management Limited,GAJA ALTERNATIVE ASSET MANAGEMENT,GAJA,Financial Results,nse_official_file,,False,False,False,False,,0,2026-09-10T17:02:24.795340+00:00
2026-09-10,Shankesh Jewellers Limited,SHANKESH JEWELLERS,SHANKESH,Financial Results/Other business matters,nse_official_file,,False,False,False,False,,0,2026-09-10T17:02:24.795340+00:00
2026-09-11,CMI Limited,CMI,CMICABLES,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-11,Horizon Industrial Parks Limited,HORIZON INDUSTRIAL PARKS,HORIZONIND,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-11,Lalithaa Jewellery Mart Limited,LALITHAA JEWELLERY MART,LALITHAA,Financial Results/Other business matters,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-14,CMI Limited,CMI,CMICABLES,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-15,CMI Limited,CMI,CMICABLES,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-15,Sunshine Pictures Limited,SUNSHINE PICTURES,SUNSHINE,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-16,CMI Limited,CMI,CMICABLES,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-16,Supreme Engineering Limited,SUPREME ENGINEERING,SUPREMEENG,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-16,Tempsens Instruments (India) Limited,TEMPSENS INSTRUMENTS INDIA,TEMPSENS,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-09-17,Skyways Air Services Limited,SKYWAYS AIR SERVICES,SKYWAYS,Financial Results/Dividend/Other business matters,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
2026-10-17,The India Cements Limited,THE INDIA CEMENTS,INDIACEM,Financial Results,nse_official_file,Cement,True,False,False,False,mid,25,2026-09-11T07:25:37.968513+00:00
2026-10-19,UltraTech Cement Limited,ULTRATECH CEMENT,ULTRACEMCO,Financial Results,nse_official_file,Cement,True,True,False,False,large,75,2026-09-11T07:25:37.968513+00:00
2026-10-23,Coforge Limited,COFORGE,COFORGE,Financial Results,nse_official_file,Information Technology,True,False,False,False,mid,25,2026-09-11T07:25:37.968513+00:00
2026-11-13,ABB India Limited,ABB INDIA,ABB,Financial Results,nse_official_file,nan,False,False,False,False,nan,0,2026-09-11T07:25:37.968513+00:00
