symbol,expiry_date,snapshot_date,futures_price,prev_price,price_chg_pct,open_interest,oi_change,oi_chg_pct,volume_contracts,buildup_type,buildup_strength,company_name,sector,market_cap_tier,is_nifty50,is_banknifty,is_nifty_next50,has_earnings_this_week,earnings_date,days_to_earnings
ABCAPITAL,2026-06-30,2026-06-03,350.9,354.6,-1.04,52684500,-375100,-0.71,1719,Neutral,Weak,Aditya Birla Capital,Financial Services,mid,False,False,False,False,,
ADANIENT,2026-06-30,2026-06-03,2946.8,2991.5,-1.49,18831696,-99807,-0.53,6957,Neutral,Weak,Adani Enterprises,Diversified,large,True,False,False,False,,
ADANIPORTS,2026-06-30,2026-06-03,1812.8,1824.6,-0.65,21297575,285000,1.36,6178,Neutral,Weak,Adani Ports,Infrastructure,large,True,False,False,False,,
ALKEM,2026-06-30,2026-06-03,5323.0,5270.5,1.0,1331000,-18500,-1.37,1681,Neutral,Weak,Alkem Laboratories,Pharmaceuticals,mid,False,False,False,False,,
AMBUJACEM,2026-06-30,2026-06-03,429.15,441.5,-2.8,69043800,1876350,2.79,6124,Short Buildup,Moderate,Ambuja Cements,Cement,mid,False,False,True,False,,
APOLLOHOSP,2026-06-30,2026-06-03,8344.0,8161.0,2.24,1739375,-36375,-2.05,3565,Short Covering,Moderate,Apollo Hospitals,Healthcare,large,True,False,False,False,,
ASHOKLEY,2026-06-30,2026-06-03,147.44,147.96,-0.35,187575000,6500000,3.59,9994,Neutral,Weak,Ashok Leyland,Automobile,mid,False,False,False,False,,
ASIANPAINT,2026-06-30,2026-06-03,2655.4,2656.3,-0.03,10975250,-215500,-1.93,3572,Neutral,Weak,Asian Paints,Consumer Goods,large,True,False,False,False,,
ASTRAL,2026-06-30,2026-06-03,1550.5,1541.4,0.59,6309125,-118575,-1.84,2285,Neutral,Weak,Astral,Infrastructure,mid,False,False,False,False,,
AUBANK,2026-06-30,2026-06-03,977.1,984.3,-0.73,27271000,376000,1.4,4215,Neutral,Weak,AU Small Finance Bank,Banking,mid,False,True,False,False,,
AUROPHARMA,2026-06-30,2026-06-03,1452.1,1439.7,0.86,17062650,-41800,-0.24,2053,Neutral,Weak,Aurobindo Pharma,Pharmaceuticals,mid,False,False,False,False,,
AXISBANK,2026-06-30,2026-06-03,1266.7,1262.6,0.32,58919375,667500,1.15,13994,Neutral,Weak,Axis Bank,Banking,large,True,True,False,False,,
BAJAJ-AUTO,2026-06-30,2026-06-03,10210.0,10216.0,-0.06,2704125,-25725,-0.94,2547,Neutral,Weak,Bajaj Auto,Automobile,large,True,False,False,False,,
BAJAJFINSV,2026-06-30,2026-06-03,1743.3,1755.2,-0.68,9090500,-113000,-1.23,2897,Neutral,Weak,Bajaj Finserv,Financial Services,large,True,False,False,False,,
BAJFINANCE,2026-06-30,2026-06-03,878.7,884.2,-0.62,73782750,924750,1.27,14288,Neutral,Weak,Bajaj Finance,Financial Services,large,True,False,False,False,,
BANDHANBNK,2026-06-30,2026-06-03,209.2,208.33,0.42,105865200,-918000,-0.86,3879,Neutral,Weak,Bandhan Bank,Banking,mid,False,True,False,False,,
BANKBARODA,2026-06-30,2026-06-03,270.55,267.65,1.08,120869775,1117350,0.93,6931,Neutral,Weak,Bank of Baroda,Banking,mid,False,False,True,False,,
BEL,2026-06-30,2026-06-03,410.35,411.8,-0.35,111796950,265050,0.24,4213,Neutral,Weak,Bharat Electronics,Capital Goods,large,True,False,False,False,,
BHARTIARTL,2026-06-30,2026-06-03,1835.8,1829.3,0.36,54203675,490675,0.91,8825,Neutral,Weak,Bharti Airtel,Telecom,large,True,False,False,False,,
BHEL,2026-06-30,2026-06-03,409.2,414.3,-1.23,114137625,-719250,-0.63,5433,Neutral,Weak,BHEL,Infrastructure,mid,False,False,True,False,,
BIOCON,2026-06-30,2026-06-03,416.05,420.7,-1.11,40362500,322500,0.81,1888,Neutral,Weak,Biocon,Pharmaceuticals,mid,False,False,False,False,,
BOSCHLTD,2026-06-30,2026-06-03,38020.0,37575.0,1.18,319025,-3825,-1.18,1909,Neutral,Weak,Bosch,Automobile,mid,False,False,True,False,,
BPCL,2026-06-30,2026-06-03,294.65,297.25,-0.87,48353925,596450,1.25,1431,Neutral,Weak,BPCL,Oil & Gas,large,False,False,False,False,,
BRITANNIA,2026-06-30,2026-06-03,5111.0,5165.0,-1.05,2675000,42875,1.63,1967,Neutral,Weak,Britannia Industries,Consumer Goods,large,False,False,False,False,,
CAMS,2026-06-30,2026-06-03,758.95,780.05,-2.7,5431500,-162000,-2.9,1455,Long Unwinding,Moderate,CAMS,Financial Services,mid,False,False,False,False,,
CANBK,2026-06-30,2026-06-03,132.74,130.34,1.84,275980500,11954250,4.53,6429,Long Buildup,Moderate,Canara Bank,Banking,mid,False,False,True,False,,
CHOLAFIN,2026-06-30,2026-06-03,1481.1,1494.9,-0.92,15511250,-185625,-1.18,2065,Neutral,Weak,Cholamandalam Finance,Financial Services,mid,False,False,True,False,,
CIPLA,2026-06-30,2026-06-03,1375.0,1378.9,-0.28,14866500,88500,0.6,3595,Neutral,Weak,Cipla,Pharmaceuticals,large,True,False,False,False,,
COALINDIA,2026-06-30,2026-06-03,477.45,476.25,0.25,78467400,1416150,1.84,13850,Neutral,Weak,Coal India,Metals & Mining,large,True,False,False,False,,
COFORGE,2026-06-30,2026-06-03,1413.7,1512.2,-6.51,15388875,-225000,-1.44,11061,Neutral,Weak,Coforge,Information Technology,mid,False,False,False,False,,
COLPAL,2026-06-30,2026-06-03,2027.8,2016.4,0.57,4772700,-8775,-0.18,1827,Neutral,Weak,Colgate Palmolive,Consumer Goods,mid,False,False,True,False,,
CONCOR,2026-06-30,2026-06-03,455.95,461.95,-1.3,25405000,523750,2.1,1934,Short Buildup,Moderate,Container Corporation,Infrastructure,mid,False,False,False,False,,
