symbol,expiry_date,snapshot_date,futures_price,prev_price,price_chg_pct,open_interest,oi_change,volume_contracts,oi_chg_pct,buildup_type,buildup_strength,company_name,sector,market_cap_tier,is_nifty50,is_banknifty,is_nifty_next50,has_earnings_this_week,earnings_date,days_to_earnings
ABCAPITAL,2026-08-25,2026-08-13,407.75,407.55,0.05,39320400,-967200,1538,-2.4,Neutral,Weak,Aditya Birla Capital,Financial Services,mid,False,False,False,False,,
ADANIENT,2026-08-25,2026-08-13,2969.5,2986.9,-0.58,15931422,-15141,3520,-0.09,Neutral,Weak,Adani Enterprises,Diversified,large,True,False,False,False,,
ADANIPORTS,2026-08-25,2026-08-13,1658.5,1660.9,-0.14,20129550,-67450,3226,-0.33,Neutral,Weak,Adani Ports,Infrastructure,large,True,False,False,False,,
ALKEM,2026-08-25,2026-08-13,5445.5,5457.0,-0.21,1468375,3125,944,0.21,Neutral,Weak,Alkem Laboratories,Pharmaceuticals,mid,False,False,False,True,2026-08-14,1.0
AMBUJACEM,2026-08-25,2026-08-13,420.15,424.6,-1.05,84663600,400800,1709,0.48,Neutral,Weak,Ambuja Cements,Cement,mid,False,False,True,False,,
APOLLOHOSP,2026-08-25,2026-08-13,8623.0,8618.0,0.06,2600000,149750,5972,6.11,Neutral,Weak,Apollo Hospitals,Healthcare,large,True,False,False,False,,
ASHOKLEY,2026-08-25,2026-08-13,177.53,176.65,0.5,135015000,-2785000,8006,-2.02,Neutral,Weak,Ashok Leyland,Automobile,mid,False,False,False,True,2026-08-14,1.0
ASIANPAINT,2026-08-25,2026-08-13,2750.4,2717.7,1.2,7295750,3000,3029,0.04,Neutral,Weak,Asian Paints,Consumer Goods,large,True,False,False,False,,
ASTRAL,2026-08-25,2026-08-13,1591.9,1456.3,9.31,6836125,-181475,14524,-2.59,Short Covering,Moderate,Astral,Infrastructure,mid,False,False,False,False,,
AUBANK,2026-08-25,2026-08-13,1091.1,1087.2,0.36,21074000,-270000,1396,-1.26,Neutral,Weak,AU Small Finance Bank,Banking,mid,False,True,False,False,,
AUROPHARMA,2026-08-25,2026-08-13,1665.6,1661.7,0.23,10222850,-312950,2095,-2.97,Neutral,Weak,Aurobindo Pharma,Pharmaceuticals,mid,False,False,False,False,,
AXISBANK,2026-08-25,2026-08-13,1226.2,1229.9,-0.3,80142500,16250,3681,0.02,Neutral,Weak,Axis Bank,Banking,large,True,True,False,False,,
BAJAJ-AUTO,2026-08-25,2026-08-13,11739.0,11732.0,0.06,1782300,-16200,1358,-0.9,Neutral,Weak,Bajaj Auto,Automobile,large,True,False,False,False,,
